Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
3632.49,-74.8166350133227,145.5143925839574
3656.48,-76.37224049739065,21.70960037592042
3680.47,-71.89919661204952,12.12277635988056
3704.46,-74.69368551720174,87.34713454093865
3728.45,-71.94081972298574,-40.35065043218135
3752.44,-85.98338731932445,-42.53083356508911
3776.43,-79.7581665649634,102.8496799233098
3800.42,-69.32916487359829,68.65633721043885
3824.41,-68.9411647293349,137.7916377022593
3848.4,-81.94215241608711,-155.6484373258092
3872.39,-77.80002931212502,-122.8743023374712
3896.38,-68.56761051577405,-84.1089305583896
3920.37,-74.54566026495188,-160.8918670971128
3944.36,-71.85519622173481,-84.11864264359446
3968.35,-73.74653039752589,75.24406859024054
3992.34,-71.61227451382049,-178.3670704942168
4016.33,-72.82435195668518,133.5878989395065
4040.32,-71.19613685239274,-46.50328364558877
4064.31,-69.77607427303323,126.7580788134287
4088.3,-74.07147557638868,-153.4747006690445
4112.29,-67.14531643398394,148.1207537964824
4136.28,-82.76520527558155,151.6300843090488
4160.27,-69.17386456890016,38.98011993687025
4184.26,-74.3722939486488,-71.64129012380975
4208.25,-71.89470749570303,-102.6508152341862
4232.24,-66.83643059749853,47.54547664329581
4256.23,-68.12676128176898,31.21786404829657
4280.22,-74.38636693099318,162.8448290306841
4304.21,-70.26249460475256,-152.7059046789702
4328.2,-77.43318417050122,89.70452199361542
4352.19,-72.8521262553073,-156.7670799629919
4376.18,-71.60048167424277,-73.14828237873469
4400.17,-75.02399853673155,-3.730795932477406
4424.16,-72.47994787259533,151.8981752316528
4448.15,-71.25738905428204,12.70761670255475
4472.14,-76.69976645053298,162.0908336310351
4496.13,-70.70991568947478,-103.1244574812633
4520.12,-73.29700160292572,77.84946531480773
4544.11,-94.4898078291876,-89.43947533999264
4568.1,-76.06331812878406,117.3593131626585
4592.09,-71.53950245438435,105.4367758633264
4616.08,-71.24998127051744,152.4347003539889
4640.07,-72.09838479722437,67.84567458137388
4664.06,-89.59903221484056,115.4797649986879
4688.05,-76.74049938410307,-96.42798091107194
4712.04,-79.81832801205043,-41.76537185468457
4736.03,-71.37657820234938,140.5704229056567
4760.02,-70.13252571245619,105.3088846738497
4784.01,-71.970585035922,152.1696751321771
4808,-79.95560806540573,124.7226445252176
4831.99,-74.72195666733995,-128.978642993231
4855.98,-73.36283413585777,121.879262778589
4879.97,-78.43688027223189,131.4850956540418
4903.96,-71.88324999197219,41.22615177390368
4927.95,-69.78221479985942,81.88646804216935
4951.94,-72.10957441045881,71.51090406402987
4975.93,-69.48779936743715,147.9161348562237
4999.92,-71.89759267606684,23.97196863773981
5023.91,-73.84044382367841,-113.7075216918189
5047.9,-77.48919293891608,-23.54125424123225
5071.89,-87.01420684144239,172.2456020500435
5095.88,-74.82549425913292,131.9444544877398
5119.87,-67.36859275376598,-22.93365834785686
5143.86,-73.12828028036103,-96.54754800573102
5167.85,-74.34889993976715,139.3448582684201
5191.84,-71.85519448487504,77.65638979560369
5215.83,-68.94853438461647,44.15163587631449
5239.82,-74.97393450758724,93.58195730256369
5263.81,-74.84482780659593,-165.3031111005421
5287.8,-69.60153466840177,64.76426762984768
5311.79,-73.79718343954474,-169.7460581900509
5335.78,-71.68786349541099,-49.59738449202597
5359.77,-76.6335530827087,166.4594070426518
5383.76,-73.90070392702088,-173.1087516197917
5407.75,-70.70714879980812,-162.1184765316578
5431.74,-64.05252905298265,44.71588520031381
5455.73,-84.24885399611503,42.19090740568484
5479.72,-61.11142206292774,105.7185591288425
5503.71,-72.48073338667224,65.06033284538584
5527.7,-80.03696348288722,-100.6401922538399
5551.69,-77.73727436768742,74.00802015379088
5575.68,-69.95847988150652,-30.85972894040032
5599.67,-84.94176716504155,28.23604622708933
5623.66,-97.99060467084034,100.5368499861957
5647.65,-73.2082508439477,15.5353896906568
5671.64,-69.99893387500438,-169.5585028756945
5695.63,-67.67994559935998,161.567671612344
5719.62,-67.96469384090895,142.9044362439575
5743.61,-74.26993949963662,36.08661673377924
5767.6,-70.07101406469127,123.8410815151008
5791.59,-75.07084301592302,88.63364473373827
5815.58,-70.14700296766364,-91.91122382910156
5839.57,-74.66719426516134,-105.2728431251593
5863.56,-87.79238438311947,-2.614742252888306
5887.55,-69.46580127544878,45.37988698517547
5911.54,-71.96051518716733,53.57067697094804
5935.53,-75.89065282385511,12.6277437450272
5959.52,-64.57626761873246,-169.3366901876158
5983.51,-85.15901500860019,-158.1659526949798
6007.5,-69.03760764077303,-14.36761545380912
6031.49,-69.11816390580272,-98.01751504403248
6055.48,-67.04438435256485,-66.84732088455411
6079.47,-66.72627458122437,-56.65643977333332
6103.46,-72.32161835673666,139.611026743131
6127.45,-69.53802208973813,-111.338609463494
6151.44,-86.56521207831781,102.4641770663286
6175.43,-72.34753130095031,66.42823034129297
6199.42,-87.6676288127252,-173.7662667527019
6223.41,-66.94108842061762,129.4922251581398
6247.4,-77.07916429240285,-150.6865192600999
6271.39,-66.33566915097957,-61.1073176080626
6295.38,-71.4994135086788,130.804044088339
6319.37,-76.21658930178253,32.13615952036233
6343.36,-74.94848428827547,-168.5811877145016
6367.35,-72.55960258490008,-28.68469300160798
6391.34,-76.4420524243877,-16.93161556019756
6415.33,-65.45515748739857,-93.77035135558695
6439.32,-80.23230477325312,-164.2083483442479
6463.31,-67.0589615767982,108.7047443779608
6487.3,-75.89000140675191,110.3613661731634
6511.29,-72.25153785950094,-155.9577221660371
6535.28,-70.06198283533507,56.39801658436887
6559.27,-63.62013186085512,154.2249107277956
6583.26,-67.9616723634439,18.86006085616437
6607.25,-74.01915116937103,162.6947952371975
6631.24,-67.97105497274367,175.8572028825915
6655.23,-70.35496823009778,52.62841562784783
6679.22,-74.83780856552998,-104.4999739427494
6703.21,-72.20808016209337,-173.0145603749053
6727.2,-62.87072067029273,-163.2180126104825
6751.19,-64.25986352433289,-14.19519124848408
6775.18,-66.76887376356231,-151.1747937921711
6799.17,-62.8606014168009,21.95069503105641
6823.16,-80.5736593817345,99.82291768241461
6847.15,-71.83106673612029,132.8517058223108
6871.14,-69.83115835588984,59.99727008969338
6895.13,-63.08180656856419,-40.15453216563446
6919.12,-60.09186969129541,126.1669615128077
6943.11,-60.25638893606001,101.995430043471
6967.1,-67.57380125858317,76.92628628126266
6991.09,-64.46666752276857,-136.4789890414114
7015.08,-63.81555772491252,-62.05774739394239
7039.07,-71.25559342345736,-14.52866482035313
7063.06,-62.13402719576958,-22.89469129314862
7087.05,-74.18702332519815,-3.023249034203488
7111.04,-64.38476673436122,-121.9554793630063
7135.03,-67.78741085219649,23.49467782250455
7159.02,-60.57109490319495,-175.2285920848284
7183.01,-62.8289692753772,30.7192360518694
7207,-70.45444833487511,-93.45291735922657
7230.99,-60.12715651205924,83.41304622490433
