Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
3924,-33.34229056540914,178.2944561623657
3935.95,-33.4919338933296,174.9988508546305
3947.9,-33.68587806978898,172.7925765258566
3959.85,-33.87171535471669,170.3225233010286
3971.8,-34.12159031066907,167.2394700970871
3983.75,-34.36622073923406,164.4397167243355
3995.7,-34.57666613664307,162.0310168826886
4007.65,-34.58051808090244,158.7461387654409
4019.6,-34.76902122835305,156.3281718267338
4031.55,-35.06135384793374,152.902828370864
4043.5,-35.26790572832432,150.3375650190316
4055.45,-35.4674408176795,147.7124787259433
4067.4,-35.77468798167968,145.2450074604458
4079.35,-36.11701858477056,142.0297646129027
4091.3,-36.26046387162297,139.7276512157387
4103.25,-36.47817314026182,135.720202784777
4115.2,-36.83353663385382,134.4309911034219
4127.15,-37.16290387211246,130.7547081097662
4139.1,-37.2229316295439,127.5368047490718
4151.05,-37.77147699828095,125.8636165274843
4163,-38.05032255045614,121.2465313980217
4174.95,-38.38630071984149,119.7918431512031
4186.9,-38.6546216941356,116.8603228392347
4198.85,-39.11414220079324,114.6152865956066
4210.8,-39.35459788379551,112.2799379726234
4222.75,-39.88834867300815,108.0368707428566
4234.7,-40.17080466388087,104.417840807698
4246.65,-40.75549610488079,101.7665439006425
4258.6,-41.19288149791509,98.24670348118764
4270.55,-41.65975271118878,96.54641855133409
4282.5,-42.38865732180594,91.5575416185897
4294.45,-42.57782590457411,89.55691776654159
4306.4,-43.42987151426392,88.85250930125534
4318.35,-43.6173861772952,84.64017153714684
4330.3,-44.55669236623614,79.70658805050888
4342.25,-45.64531450584517,75.69845963998053
4354.2,-46.70374709905167,72.78661122446556
4366.15,-47.10574080515732,69.73562462145888
4378.1,-48.25116655380357,64.76819693291081
4390.05,-49.30905402955553,60.57898070536039
4402,-50.75022313289251,52.98076763146736
4413.95,-52.44010655318853,51.29926080206286
4425.9,-56.38391431499834,45.93780704942591
4437.85,-57.9449726798775,37.06866159640396
4449.8,-61.87954192320588,40.32697130286456
4461.75,-64.63639118763186,-19.83382993363742
4473.7,-63.30037020747219,-62.88764557977325
4485.65,-60.21117037956382,-99.68992659589037
4497.6,-56.29341121226302,-99.590688165617
4509.55,-54.95593883638769,-116.8644067003306
4521.5,-51.95505216665797,-122.1680367853237
4533.45,-51.02313714830396,-134.5253400335063
4545.4,-49.77479787019233,-133.3279826342503
4557.35,-48.40312128091605,-136.3731254474899
4569.3,-46.59509463382156,-144.5515937766026
4581.25,-46.20252931249665,-144.6412339840421
4593.2,-44.95577094382004,-149.2097874845604
4605.15,-44.45576345354071,-155.0505511069169
4617.1,-43.82572849085348,-154.729803292889
4629.05,-42.75154362916989,-155.8455125993231
4641,-42.20436670951123,-163.8208181344836
4652.95,-41.84264616269878,-166.120823176987
4664.9,-41.29609877570932,-167.9428538408806
4676.85,-40.70246978309031,-170.6417335497595
4688.8,-40.57578716307682,-173.622013615639
4700.75,-39.83289305117972,-175.8159156135991
4712.7,-39.67209729942634,-179.2739126843714
4724.65,-39.0677985916833,176.6029974049611
4736.6,-38.79832405560037,174.6012784748748
4748.55,-38.37610057797583,172.7092838737316
4760.5,-38.0224815631662,168.4537478717396
4772.45,-37.5482511968988,164.8497626894774
4784.4,-37.31585430418014,163.0343853852598
4796.35,-36.91130063000332,160.7901493263851
4808.3,-36.74938472988943,157.6047265830353
4820.25,-36.45138846125788,154.3245491144921
4832.2,-36.15945348831453,153.1008253171428
4844.15,-35.81456541525633,149.769997514041
4856.1,-35.68016849915769,146.7539031266501
4868.05,-35.49214699817543,143.8857990787824
4880,-35.20075083301926,140.8769785322085
4891.95,-34.94829980816575,138.4704431823727
4903.9,-34.6549759874565,135.0849139987746
4915.85,-34.56934418109411,132.9914475667463
4927.8,-34.45871373489385,130.3591105075522
4939.75,-34.10077824077796,127.2362017371511
4951.7,-33.8165958577417,124.1320174029291
4963.65,-33.66775026498139,121.233285194796
4975.6,-33.56829185883166,118.2465387749118
4987.55,-33.29037186041164,116.0030011305976
4999.5,-33.07041938962701,112.6244015495562
5011.45,-33.04296396207705,110.0040319721688
5023.4,-32.64018927904165,108.1968896946511
5035.35,-32.5468605968165,104.6858774595971
5047.3,-32.40573351791977,102.36246425141
5059.25,-32.31384226838113,99.1002158622594
5071.2,-32.13772659090074,96.50794027750413
5083.15,-31.91462584897359,93.834904465298
5095.1,-31.9142264207131,90.61880288414636
5107.05,-31.71100711285311,88.32753951754877
5119,-31.57529647032165,85.51758393597053
5130.95,-31.41998427367025,83.57960642560022
5142.9,-31.3453524595593,79.77986022750284
5154.85,-31.17466088347174,77.69212676916996
5166.8,-30.98664347482459,74.24596425883821
5178.75,-30.9381944858549,71.17268214937852
5190.7,-30.79241856408755,68.20016995621114
5202.65,-30.68538964238058,66.48170823967733
5214.6,-30.55504322776873,63.33560219181356
5226.55,-30.47095286940021,60.00003808265097
5238.5,-30.40314898856894,57.62486729613941
5250.45,-30.30269815959212,55.70301133700536
5262.4,-30.21039926473029,52.53009281926558
5274.35,-30.02951470383957,49.34188008995704
5286.3,-29.98858122563146,46.6840691501918
5298.25,-29.93415920247282,43.6431397949685
5310.2,-29.79043132155654,40.93178680831612
5322.15,-29.81517910827595,38.08868284725912
5334.1,-29.63737237424652,35.37100340402392
5346.05,-29.52948695138134,32.9697532839649
5358,-29.51200178411147,30.03088810193318
5369.95,-29.45384866758077,27.52765887686459
5381.9,-29.41936716308498,24.42451444290016
5393.85,-29.25021473931228,21.77692829195708
5405.8,-29.23654655158688,19.40332693433147
5417.75,-29.16817978358386,16.56330496100014
5429.7,-29.0916294827523,13.74889767063826
5441.65,-29.02164426560215,10.99653047814508
5453.6,-28.93122817445871,8.211040420851987
5465.55,-28.95545258215661,4.604481805020942
5477.5,-28.85360692060364,2.456672138683295
5489.45,-28.79595109656453,0.1230313957375415
5501.4,-28.72315520642532,-3.094339685276999
5513.35,-28.76238802682611,-5.594435116961392
5525.3,-28.63286566358385,-8.698124976296214
5537.25,-28.57800286443105,-11.19056300751266
5549.2,-28.65580215169847,-14.39088166196632
5561.15,-28.54250688707273,-16.17229355783272
5573.1,-28.55606361310242,-19.51936344797645
5585.05,-28.47557249860978,-22.12809478321843
5597,-28.44640906447384,-25.1468972349973
5608.95,-28.3586156217964,-27.97946793566041
5620.9,-28.36519140210621,-30.81638422986157
5632.85,-28.36775572597649,-33.15757471371616
5644.8,-28.27281590720018,-36.06418593917727
5656.75,-28.35360861685503,-38.92604577524711
5668.7,-28.27884401674218,-41.38625035155
5680.65,-28.31802465868986,-44.38958162981089
5692.6,-28.25729847539067,-47.03198944641571
5704.55,-28.24715997939362,-49.66322160829351
5716.5,-28.15953187217655,-52.28731061201775
5728.45,-28.16149747180964,-55.33830884427142
